id,2024-03-31,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16
MLA1284780205,13017.0,13017.0,13017.0,13017.0,13017.0,13017.0,13017.0,13017.0,13017.0,13017.0,13017.0,13017.0,13017.0,13017.0,13017.0,17357.0,17357.0
MLA1431307394,21429.0,21429.0,21429.0,21429.0,21429.0,21429.0,21429.0,19999.0,21429.0,18571.0,21429.0,19999.0,19999.0,19999.0,19999.0,19999.0,21429.0
MLA1172310270,15900.0,10112.4,10112.4,10112.4,10112.4,10112.4,13992.0,13992.0,13992.0,13992.0,13992.0,13992.0,13992.0,13992.0,13992.0,13992.0,13992.0
MLA1481617116,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0
MLA1384717327,10360.0,10360.0,10360.0,10360.0,10360.0,10360.0,10360.0,10360.0,10360.0,10360.0,10360.0,10360.0,10360.0,10360.0,10360.0,10360.0,10360.0
MLA1394560719,15833.0,15833.0,15833.0,15833.0,15833.0,15833.0,15833.0,15833.0,15833.0,15833.0,15833.0,15833.0,15833.0,15833.0,15833.0,15833.0,15833.0
MLA1394342887,79999.0,79999.0,79999.0,79999.0,79999.0,79999.0,79999.0,79999.0,79999.0,79999.0,79999.0,79999.0,79999.0,79999.0,79999.0,79999.0,79999.0
MLA1157048188,53599.0,53599.0,53599.0,53599.0,53599.0,53599.0,53599.0,53599.0,53599.0,53599.0,53599.0,54999.0,54999.0,54999.0,54999.0,54999.0,54999.0
MLA1370237501,18390.0,18390.0,18390.0,18390.0,18390.0,18390.0,18390.0,18390.0,18390.0,18390.0,18390.0,18390.0,18390.0,18390.0,18390.0,18390.0,18390.0
MLA786173243,23580.0,23580.0,23580.0,23580.0,23580.0,23580.0,23580.0,23580.0,23580.0,23580.0,23580.0,23580.0,23580.0,23580.0,23580.0,23580.0,23580.0
MLA1481617100,10178.0,10178.0,10178.0,10178.0,10178.0,10178.0,10178.0,10178.0,10178.0,10178.0,10178.0,10178.0,10178.0,10178.0,10178.0,10178.0,10178.0
MLA1510679906,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0
