id,2023-09-24,2023-09-28,2023-09-29
MLA1288642804,38149.0,38149.0,38149.0
MLA836472698,37399.0,37399.0,39099.08
MLA1382973604,99999.0,99999.0,79999.0
MLA765696031,2648.3,2648.3,2648.3
MLA1383038463,12600.0,12600.0,12600.0
MLA1383793281,119900.0,119900.0,119900.0
MLA1415995244,66999.0,66999.0,66999.0
MLA866943004,38999.0,38999.0,38621.8
MLA1503226012,49799.17,49799.17,49799.17
MLA1122777067,73599.08,73599.08,73599.08
MLA775650559,36500.0,36500.0,36500.0
MLA817614688,10800.97,10800.97,10800.97
MLA859438947,38709.21,38709.21,38709.21
MLA1391868400,31384.0,31384.0,30599.4
MLA1292477205,52878.15,52878.15,60647.0
MLA847650589,16164.0,16164.0,15731.0
MLA1385004259,113999.05,113999.05,113999.05
MLA738354061,35999.0,35999.0,35999.0
MLA929068771,48799.0,48799.0,48799.0
MLA822252743,22999.0,22999.0,22999.0
MLA934386843,103990.0,103990.0,103990.0
MLA1388975149,6999.0,6999.0,5599.2
MLA870641971,37699.0,37699.0,37899.0
MLA909004508,13299.05,13299.05,13299.05
MLA1145029073,13999.3,13999.3,13999.3
MLA721506204,12791.64,12791.64,12791.64
MLA1179596690,20899.0,20899.0,20899.0
MLA1422304852,14999.0,14999.0,14999.0
MLA1132528263,3490.7,3490.7,4241.68
MLA1373033337,4274.05,4274.05,4274.05
MLA1337736091,32500.0,32500.0,32500.0
MLA1387685465,79199.12,79199.12,79199.12
MLA1473238438,16499.0,16499.0,16499.0
MLA1375259055,36999.0,36999.0,38499.0
MLA1426302532,31863.45,31863.45,31863.45
MLA882610417,44399.0,44399.0,44399.0
MLA867202080,49999.0,49999.0,49999.0
MLA669413037,171800.0,171800.0,171800.0
MLA1104278619,3869.0,3869.0,4369.0
MLA1106798052,28999.0,28999.0,28999.0
MLA900379052,14500.0,14500.0,14500.0
MLA760402857,4599.0,4599.0,4649.0
MLA905002354,14999.0,14999.0,15499.0
MLA916542110,63800.0,63800.0,63800.0
MLA772905072,16149.05,16149.05,16149.05
MLA1300784340,30742.0,30742.0,29242.4
MLA1220564130,16300.0,16300.0,16300.0
MLA860422997,21515.0,21515.0,21515.0
MLA1375576317,13750.0,13750.0,13750.0
MLA850546715,49999.0,49999.0,49999.0
MLA1442108744,13750.0,13750.0,13750.0
MLA723727480,6882.0,6882.0,6882.0
MLA1467867834,19999.0,19999.0,19999.0
MLA663511923,14719.08,14719.08,14719.08
MLA853625962,15499.0,15499.0,14724.05
MLA852582558,19430.0,19430.0,19430.0
MLA1140947910,26867.98,26867.98,26867.98
MLA758553349,15470.0,15470.0,15760.0
MLA842546930,4999.0,4999.0,4999.0
MLA629960077,10000.0,10000.0,10000.0
MLA1381017953,15782.0,15782.0,15782.0
MLA1454956566,42334.75,42334.75,38101.27
MLA1517257390,15131.58,15131.58,15131.58
MLA1376202131,37100.0,37100.0,37100.0
MLA1161496527,11787.0,11787.0,11787.0
