id,2024-04-30,2024-05-01,2024-05-02,2024-05-03,2024-05-04,2024-05-05
MLA857032183,6090.0,6090.0,6090.0,6090.0,6090.0,6090.0
MLA762814508,21669.65,21669.65,21669.65,21669.65,21669.65,21669.65
MLA1276193547,13497.6,13497.6,13497.6,13497.6,13497.6,13497.6
MLA1116725484,20699.99,21374.99,21374.99,21374.99,21374.99,21374.99
MLA1153862473,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0
MLA1128221397,34342.5,34342.5,34342.5,34342.5,34342.5,34342.5
MLA1409521697,10431.93,14074.0,14074.0,10555.5,10555.5,10555.5
MLA1391827015,59164.99,66500.0,52650.0,52650.0,52650.0,52650.0
MLA877250260,13354.29,13354.29,12420.0,12420.0,12420.0,12420.0
MLA886509518,59090.0,62200.0,62200.0,57846.0,57846.0,57846.0
MLA1611593214,16800.0,16800.0,16800.0,16800.0,16800.0,16800.0
MLA1111121452,72785.0,72785.0,72785.0,72785.0,72785.0,72785.0
MLA904958434,4900.0,4900.0,4900.0,4900.0,4900.0,4900.0
MLA1520710316,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0
MLA818574582,38384.18,41721.94,41721.94,41721.94,41721.94,41721.94
MLA1634914606,199000.0,199000.0,189000.0,189000.0,189000.0,189000.0
MLA1232949021,79800.0,86739.13,86739.13,86739.13,86739.13,86739.13
MLA1232775665,40908.0,42241.95,44465.22,44465.22,44465.22,44465.22
MLA1629293616,34040.0,37000.0,35150.0,35150.0,35150.0,35150.0
MLA1693690868,13110.0,13110.0,13110.0,13110.0,13110.0,13110.0
MLA922929353,247746.78,247746.78,247746.78,247746.78,247746.78,247746.78
MLA1520710426,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0
MLA1396629100,66411.46,72832.0,65548.8,65548.8,65548.8,65548.8
MLA916361036,29262.26,29262.26,27214.0,27214.0,27214.0,27214.0
MLA905469019,16200.0,16200.0,16200.0,16200.0,16200.0,16200.0
MLA826368067,6806.4,6806.4,6806.4,6806.4,6806.4,6806.4
MLA874507725,20939.8,20939.8,19474.0,19474.0,19474.0,19474.0
MLA1329094631,100298.33,100298.33,93277.0,93277.0,93277.0,93277.0
MLA903311333,42521.44,42521.44,39545.0,39545.0,39545.0,39545.0
MLA1135542128,72554.04,72554.04,72554.04,72554.04,72554.04,72554.04
MLA1383772293,49570.29,49570.29,46100.0,46100.0,46100.0,46100.0
MLA1120101785,8996.4,8996.4,8996.4,11995.2,11995.2,11995.2
MLA916323344,24891.3,24891.3,23148.0,23148.0,23148.0,23148.0
MLA800688410,14960.0,14960.0,14960.0,14960.0,14960.0,14960.0
MLA1106929198,124137.38,134931.93,134931.93,134931.93,134931.93,134931.93
MLA874516637,58945.19,58945.19,54819.0,54819.0,54819.0,54819.0
MLA784016325,38773.71,42145.34,42145.34,42145.34,42145.34,42145.34
MLA1135993622,26980.0,28400.0,28400.0,28400.0,28400.0,28400.0
MLA1102385821,32878.55,32878.55,32878.55,32878.55,32878.55,32878.55
MLA731372776,165367.21,165367.21,165367.21,165367.21,165367.21,165367.21
MLA1150225725,35578.83,35350.74,35350.74,35350.74,35350.74,35350.74
MLA903353790,15586.41,15586.41,14495.0,14495.0,14495.0,14495.0
MLA883857583,27339.0,27339.0,27339.0,27339.0,27339.0,27339.0
MLA1147707465,99639.54,99639.54,92664.0,92664.0,92664.0,92664.0
MLA1414464439,21381.0,21381.0,21381.0,21381.0,21381.0,21381.0
MLA886172169,42392.09,42392.09,39425.0,39425.0,39425.0,39425.0
MLA1102258751,27339.0,27339.0,27339.0,27339.0,27339.0,27339.0
MLA1255892223,33585.3,33585.3,33585.3,44780.4,44780.4,44780.4
MLA868064700,42122.93,42122.93,39174.0,39174.0,39174.0,39174.0
MLA1404282588,28190.0,28190.0,28190.0,28190.0,33990.0,33990.0
MLA814740151,92670.88,92670.88,86184.0,86184.0,86184.0,86184.0
MLA879206167,34998.72,34998.72,32549.0,32549.0,32549.0,32549.0
MLA873764608,31643.0,31643.0,29428.0,29428.0,29428.0,29428.0
MLA827649131,28522.93,28522.93,28522.93,28522.93,28522.93,28522.93
MLA1411663133,52164.0,56700.0,56700.0,56700.0,56700.0,56700.0
MLA874473324,14066.02,14066.02,13082.0,13082.0,13082.0,13082.0
MLA1403809447,215848.02,215848.02,215848.02,215848.02,215848.02,215848.02
MLA880097296,98313.17,98313.17,91431.0,91431.0,91431.0,91431.0
MLA905768866,47826.98,47826.98,44479.0,44479.0,44479.0,44479.0
MLA1118979361,131537.13,131537.13,122330.0,122330.0,122330.0,122330.0
MLA1508251996,50140.0,54500.0,54500.0,54500.0,54500.0,54500.0
MLA896369862,33899.0,33899.0,33899.0,33899.0,33899.0,33899.0
MLA1405571045,38699.14,40499.1,40499.1,44999.0,44999.0,44999.0
MLA617641872,28285.69,29794.26,29794.26,29794.26,29794.26,29794.26
MLA1532630110,39928.0,43400.0,43400.0,43400.0,43400.0,43400.0
MLA1621804882,11158.0,11158.0,11158.0,11158.0,11158.0,11158.0
MLA619190981,86499.0,86499.0,90740.0,90740.0,90740.0,90740.0
MLA1403221097,63999.0,55999.0,55999.0,63999.0,63999.0,63999.0
MLA1112896193,165287.2,179660.0,179660.0,179660.0,179660.0,179660.0
MLA1401681653,13961.0,13961.0,13961.0,13961.0,13961.0,13961.0
MLA865188403,313766.0,313766.0,313766.0,313766.0,313766.0,313766.0
MLA634260751,23520.54,28338.0,23000.0,23000.0,23000.0,23000.0
MLA1505417690,62100.0,67500.0,67500.0,67500.0,67500.0,67500.0
MLA866430721,4999.99,4999.99,4999.99,4999.99,4999.99,4999.99
MLA615231668,16537.5,16537.5,16537.5,22050.0,22050.0,22050.0
MLA1618238776,40020.0,43500.0,43500.0,43500.0,43500.0,43500.0
MLA758699597,23285.65,28055.0,23005.1,23005.1,23005.1,23005.1
MLA617119449,16537.5,16537.5,16537.5,22050.0,22050.0,22050.0
MLA1621675804,11158.0,11158.0,11158.0,11158.0,11158.0,11158.0
MLA1405554727,40499.1,40499.1,40499.1,40499.1,40499.1,40499.1
MLA670797404,26389.0,26389.0,26389.0,26389.0,26389.0,26389.0
MLA1136934674,27900.0,29900.0,29900.0,29900.0,29900.0,29900.0
MLA688485715,23342.12,27142.0,23070.7,23070.7,23070.7,23070.7
MLA905238000,22990.0,22990.0,22990.0,22990.0,22990.0,22990.0
MLA834439228,16537.5,16537.5,16537.5,22050.0,22050.0,22050.0
MLA620619631,16537.5,16537.5,16537.5,22050.0,22050.0,22050.0
MLA1402690109,17500.0,17500.0,17500.0,17500.0,17500.0,17500.0
MLA1294777899,62890.0,62890.0,70663.48,63244.0,63244.0,63244.0
MLA1405661813,42749.05,40499.1,40499.1,44999.0,44999.0,44999.0
MLA1179018521,129554.0,163992.0,163992.0,139393.0,139393.0,139393.0
MLA1398558615,20623.0,20623.0,20623.0,20623.0,20623.0,20623.0
MLA1405926071,44999.0,44999.0,44999.0,44999.0,44999.0,44999.0
MLA826570286,17293.5,17293.5,17293.5,23058.0,23058.0,23058.0
MLA1401682615,18273.0,18273.0,18273.0,18273.0,18273.0,18273.0
MLA634337529,23500.0,23500.0,23244.15,23244.15,23244.15,23244.15
MLA694576751,23342.12,27142.0,23070.7,23070.7,23070.7,23070.7
MLA1608031274,17500.0,17500.0,17500.0,17500.0,17500.0,17500.0
MLA1407592383,18999.0,18999.0,18999.0,18999.0,21999.0,21999.0
MLA1368289749,33999.0,33999.0,33999.0,33999.0,33999.0,33999.0
MLA928711999,9550.0,9550.0,9550.0,9550.0,9550.0,9550.0
MLA1380471527,44400.0,44400.0,44400.0,49500.0,49500.0,49500.0
MLA1602724382,2767.0,2767.0,2767.0,3688.8,3688.8,3688.8
MLA918251851,16044.2,18500.0,18500.0,18500.0,18500.0,18500.0
MLA1329167164,2099.0,2099.0,2099.0,2099.0,2099.0,2099.0
MLA1214961265,30704.7,30704.7,30704.7,30704.7,30704.7,30704.7
MLA1216686706,25855.0,25855.0,25855.0,25855.0,25855.0,25855.0
MLA1659963330,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
MLA921237469,14140.4,15370.0,15370.0,15370.0,15370.0,15370.0
MLA809324714,2969.0,3959.0,3959.0,2969.0,2969.0,2969.0
MLA1390363957,17708.26,17708.26,17708.26,17708.26,17708.26,17708.26
MLA631810900,2919.6,2919.6,2919.6,3892.8,3892.8,3892.8
MLA1359584344,2105.61,2105.61,2105.61,2159.6,1997.63,1997.63
MLA1392430425,17716.5,17716.5,19685.0,19685.0,19685.0,19685.0
MLA1407284449,11431.0,11431.0,11431.0,11431.0,11431.0,11431.0
MLA909160097,4483.0,4483.0,4483.0,4483.0,4483.0,4483.0
MLA1405840627,37870.0,37870.0,37870.0,37870.0,37870.0,37870.0
MLA1508687234,8431.2,8431.2,8431.2,8431.2,8431.2,8431.2
MLA608870716,22471.0,22471.0,22471.0,22471.0,22471.0,22471.0
MLA1411265951,19310.8,18499.0,18499.0,18499.0,18499.0,18499.0
MLA1288362293,20634.0,20634.0,20634.0,20634.0,20634.0,20634.0
MLA665207927,6399.99,6399.99,6399.99,6399.99,6399.99,6399.99
MLA814549657,19990.0,19990.0,19990.0,19990.0,19990.0,19990.0
MLA1489773646,21150.8,19855.31,19855.31,19855.31,19855.31,19855.31
MLA708528256,40639.0,40639.0,40639.0,40639.0,40639.0,40639.0
MLA1501475850,16532.4,17970.0,17970.0,17970.0,17970.0,17970.0
MLA726430346,4832.0,4832.0,4832.0,4832.0,4832.0,4832.0
MLA634125192,37899.0,37899.0,32593.0,32593.0,32593.0,32593.0
MLA1405434661,1869.15,2199.0,2199.0,2199.0,2199.0,2199.0
MLA1508178044,3700.0,3700.0,3700.0,3700.0,3700.0,3700.0
MLA732499959,4890.0,4890.0,4890.0,4890.0,4890.0,4890.0
MLA604235081,3370.63,3370.63,3370.63,3370.63,3370.63,3370.63
MLA1375632285,1999.86,2173.76,2173.76,2173.76,2173.76,2173.76
MLA709847907,51159.6,51159.6,51159.6,68212.8,68212.8,68212.8
MLA1576314654,40800.0,48499.0,48499.0,48499.0,48499.0,48499.0
MLA1405658115,2824.4,3070.0,3070.0,3070.0,3070.0,3070.0
MLA616960093,23100.0,23100.0,23200.0,23200.0,23200.0,23200.0
MLA915955208,20990.0,20990.0,20990.0,20990.0,20990.0,20990.0
MLA627531048,37799.0,37799.0,32507.0,32507.0,32507.0,32507.0
MLA1465446210,23500.0,23500.0,23500.0,23500.0,23500.0,23500.0
MLA841242895,30999.0,59170.0,29845.0,30999.0,30363.36,30363.36
MLA836485439,11691.38,11691.38,11691.38,11691.38,11691.38,11691.38
MLA1423360335,278363.3,278363.3,278363.3,278363.3,278363.3,278363.3
MLA610715325,30818.0,34699.0,31576.0,31576.0,31576.0,31576.0
MLA1123986445,33750.0,37500.0,32250.0,32250.0,32250.0,32250.0
MLA1409524200,29845.0,38674.62,28734.0,29845.0,29529.0,29529.0
MLA609484673,14715.0,15995.0,13596.0,13596.0,13596.0,13596.0
MLA1225473478,16849.0,16849.0,16849.0,16849.0,16849.0,16849.0
MLA911018125,13698.72,13698.72,13698.72,13698.72,13698.72,13698.72
MLA1133200500,278363.3,278363.3,278363.3,278363.3,278363.3,278363.3
MLA619390392,12457.0,12457.0,12457.0,12457.0,12457.0,12457.0
MLA1192720178,41481.0,41481.0,41481.0,41481.0,41481.0,41481.0
