id,2023-12-31,2024-01-01,2024-01-02,2024-01-03,2024-01-04,2024-01-05,2024-01-06,2024-01-07,2024-01-08,2024-01-09,2024-01-10,2024-01-11,2024-01-12,2024-01-13,2024-01-14,2024-01-15,2024-01-16,2024-01-17,2024-01-18,2024-01-19,2024-01-20,2024-01-21,2024-01-22,2024-01-23,2024-01-24,2024-01-25,2024-01-26,2024-01-27,2024-01-28,2024-01-29,2024-01-30,2024-01-31
MLA1112650185,27794.0,27794.0,27794.0,27794.0,27794.0,25570.48,25570.48,25570.48,25570.48,26703.0,29025.0,29025.0,26993.25,26993.25,26993.25,26993.25,29025.0,29025.0,29825.0,28333.75,28333.75,28333.75,28333.75,28333.75,28333.75,28333.75,27439.0,27439.0,27439.0,27439.0,27439.0,27439.0
MLA683229794,8900.0,8900.0,8900.0,8900.0,8900.0,8900.0,8900.0,8900.0,8900.0,8900.0,9900.0,9900.0,9900.0,9900.0,9900.0,9900.0,9900.0,9900.0,9900.0,9900.0,9900.0,9900.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0
MLA784328741,26082.0,26082.0,26082.0,26082.0,26082.0,26082.0,26082.0,26082.0,26082.92,26082.92,28352.0,25516.8,25516.8,25516.8,25516.8,25516.8,26368.0,26368.0,26368.0,26368.0,26368.0,26368.0,26368.0,26368.0,26368.0,26368.0,26368.0,26368.0,26368.0,26368.0,26368.0,28352.0
MLA779976127,26983.37,26983.37,26983.37,26983.37,24824.7,24824.7,24824.7,24824.7,24824.7,26983.37,26983.37,26983.37,26983.37,26983.37,26983.37,26983.37,26983.37,29681.71,29681.71,29681.71,29681.71,29681.71,29681.71,29681.71,29681.71,29681.71,29681.71,29681.71,29681.71,29681.71,29681.71,29681.71
MLA616377523,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0
MLA1146577851,13919.13,13919.13,13919.13,13919.13,13919.13,13919.13,13919.13,13919.13,13919.13,13919.13,13919.13,13919.13,13919.13,13919.13,13919.13,13919.13,13919.13,13919.13,13919.13,13919.13,10961.13,10961.13,10961.13,10961.13,10961.13,10961.13,10961.13,10961.13,10961.13,10961.13,10961.13,10961.13
MLA913968241,27476.33,27476.33,26479.02,26479.02,26487.49,26487.49,26487.49,26487.49,26487.49,27542.21,27542.21,29697.57,29697.57,29697.57,29697.57,29697.57,30690.02,30690.02,30690.02,30690.02,30690.02,30690.02,30690.02,30690.02,32414.37,34529.95,34529.95,34529.95,34529.95,34529.95,34529.95,34529.95
MLA1103515238,28403.0,28403.0,28403.0,28403.0,28403.0,28403.0,28403.0,28403.0,28403.0,28403.0,28403.0,28403.0,28403.0,28403.0,28403.0,28403.0,28403.0,28403.0,28403.0,28403.0,28403.0,28403.0,28403.0,28403.0,28403.0,28403.0,28403.0,28403.0,28403.0,28403.0,28403.0,28403.0
MLA1491182258,11979.0,11979.0,11979.0,11979.0,11979.0,11979.0,11979.0,11979.0,11979.0,13976.0,13976.0,13976.0,13976.0,13976.0,13976.0,14814.0,14814.0,14814.0,14814.0,14814.0,15972.0,15972.0,11469.0,11469.0,11469.0,11469.0,11469.0,12443.0,12443.0,12451.0,14974.0,14974.0
MLA1120015861,18216.0,18216.0,19800.0,19800.0,19800.0,19800.0,20100.0,20100.0,18492.0,20100.0,20100.0,20100.0,20100.0,20100.0,20100.0,20100.0,20100.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0
MLA836363515,60000.0,60000.0,60000.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0,80000.0,80000.0,80000.0,80000.0,80000.0,90000.0
MLA1151936506,37934.0,45703.08,45703.08,57280.74,46397.0,46397.0,46397.0,57280.74,46397.0,46397.0,46397.0,46397.0,45395.0,45395.0,57280.74,45395.0,46970.0,46970.0,46970.0,46970.0,46970.0,57280.74,46970.0,46970.0,46970.0,57280.74,57280.74,57280.74,57280.74,46970.0,46970.0,57280.74
MLA1385839459,59484.7,59484.7,59484.7,59484.7,59484.7,59484.7,59484.7,59484.7,59484.7,59484.7,59484.7,59484.7,59484.7,59484.7,59484.7,59484.7,59484.7,59484.7,59484.7,59484.7,59484.7,59484.7,59484.7,59484.7,59484.7,59484.7,59484.7,59484.7,59484.7,59484.7,59484.7,59484.7
MLA1131162739,263763.02,263763.02,263763.02,263763.02,263763.02,263763.02,263763.02,263763.02,263763.02,263763.02,263763.02,263763.02,263763.02,263763.02,263763.02,263763.02,263763.02,263763.02,263763.02,263763.02,263763.02,263763.02,263763.02,263763.02,263763.02,263763.02,263763.02,263763.02,263763.02,263763.02,263763.02,263763.02
MLA910659987,52274.0,59200.12,68344.92,68344.92,67997.0,67997.0,67997.0,70830.0,67997.0,67997.0,67102.0,67102.0,67102.0,67102.0,70085.0,67102.0,67102.0,67102.0,67102.0,67102.0,67102.0,70085.0,70085.0,70085.0,67102.0,67102.0,70085.0,70085.0,70085.0,65425.0,65425.0,74558.1
MLA1512250468,23430.0,23430.0,23430.0,23430.0,23430.0,23430.0,23430.0,23430.0,23430.0,23430.0,23430.0,23430.0,23430.0,23430.0,23430.0,23430.0,23430.0,23430.0,23430.0,23430.0,23430.0,23430.0,23430.0,23430.0,23430.0,23430.0,23430.0,23430.0,23430.0,23430.0,23430.0,23430.0
MLA1135684364,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0
MLA1286546474,84900.0,84900.0,84900.0,84900.0,84900.0,84900.0,84900.0,84900.0,84900.0,84900.0,84900.0,84900.0,84900.0,84900.0,84900.0,78957.0,78957.0,78957.0,78957.0,84900.0,84900.0,84900.0,84900.0,84900.0,84900.0,84900.0,84900.0,84900.0,84900.0,84900.0,84900.0,84900.0
MLA1145526883,68002.55,68002.55,68002.55,68002.55,68002.55,68002.55,68002.55,68002.55,68002.55,68002.55,68002.55,68002.55,68002.55,68002.55,68002.55,68002.55,68002.55,68002.55,68002.55,68002.55,68002.55,68002.55,68002.55,68002.55,68002.55,68002.55,68002.55,68002.55,68002.55,68002.55,68002.55,68002.55
MLA1127699335,49500.0,49500.0,49500.0,49500.0,49500.0,49500.0,49500.0,49500.0,49500.0,49500.0,49500.0,49500.0,49500.0,49500.0,49500.0,49500.0,49500.0,49500.0,49500.0,49500.0,49500.0,49500.0,49500.0,49500.0,49500.0,59500.0,59500.0,59500.0,59500.0,59500.0,59500.0,59500.0
MLA770148341,48000.0,48000.0,48000.0,48000.0,48000.0,48000.0,48000.0,48000.0,48000.0,48000.0,48000.0,48000.0,48000.0,48000.0,48000.0,48000.0,48000.0,48000.0,48000.0,48000.0,48000.0,48000.0,48000.0,48000.0,48000.0,48000.0,48000.0,48000.0,48000.0,48000.0,48000.0,48000.0
MLA1369054616,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,52000.0,52000.0,52000.0,52000.0,52000.0,52000.0,52000.0
